lat,lng,HAZ_CLASS
-400269.9314,315813.5733,1
-400241.8046,316074.1249,1
-400445.6449,310324.921,1
-400315.2662,314815.3053,1
-400155.1767,318127.4166,1
-400071.0481,315706.7612,1
-400048.2721,310442.1373,1
-400041.8607,310994.1535,1
-400029.7848,309690.2005,1
-399902.0287,42233.1581,1
-400064.292,43368.7426,1
-399970.032,310715.9981,1
-399940.5955,311091.5142,1
-399933.7376,313593.045,1
-399914.1853,314247.4338,1
-400034.9356,308623.2828,1
-399971.1649,314567.4429,1
-399915.3239,315025.2196,1
-400218.3166,318522.6174,1
-399781.1262,41720.2261,1
-399820.1351,42057.1107,1
-399815.7711,237067.2998,1
-399961.43,238898.0761,1
-399761.5906,41641.5024,1
-400092.6997,109936.1862,1
-399811.5923,306360.1304,1
-399660.4753,309629.7598,1
-399655.045,309879.8811,1
-399615.5978,287803.6144,1
-399650.7296,310230.6238,1
-399683.0121,310863.1595,1
-399639.0513,311182.6953,1
-401229.9566,312336.8152,1
-399666.1713,304948.7112,1
-399649.3332,314244.6535,1
-399656.1604,305199.5367,1
-399538.0586,236846.0349,1
-399719.2683,315912.4479,1
-399786.4983,317164.2319,1
-401557.7423,319135.7138,1
-399560.9874,40642.9573,1
-399551.0004,287451.2186,1
-399433.0891,305743.1809,1
-399218.8978,306039.8827,1
-399064.9197,304981.2049,1
-399010.4096,306185.3709,1
-398872.9886,305876.0294,1
-399169.6381,305397.2757,1
-398500.9081,65339.1508,1
-398326.5043,284712.3701,1
-398541.812,242560.2126,1
-398207.9478,65488.0381,1
-398089.7655,253588.6306,1
-397963.2469,238126.3365,1
-397913.84,32559.1532,1
-398297.8073,127999.9908,1
-397141.3833,11949.0514,1
-397182.2688,283778.8335,1
-397120.7851,12052.2243,1
-397081.5897,30835.0231,1
-397260.0277,242318.3863,1
-397147.468,10920.0717,1
-396985.8622,294327.5727,1
-397742.7118,294746.9693,1
-397336.0165,33352.6879,1
-396713.4112,148332.9594,1
-396924.8897,30699.0407,1
-396310.0289,13831.9334,1
-395853.9014,17709.422,1
-395683.2728,23536.8503,1
-395659.5437,16029.9922,1
-395764.1725,17294.8612,1
-395968.8179,67685.7138,1
-395709.2091,19718.4099,1
-395374.2233,11005.7767,1
-395404.4056,75039.6969,1
-397838.0283,303449.5997,1
-394837.3921,297885.8828,1
-394326.7106,296886.4227,1
-394896.2903,16933.7767,1
-394164.1997,296393.1379,1
-393935.9586,295355.2818,1
-394820.4355,259392.1747,1
-394912.52,254753.8697,1
-393924.556,279674.8263,1
-393913.3674,294125.1241,1
-392794.8477,200759.6543,1
-393755.8942,277531.0775,1
-392479.5407,279912.8535,1
-395553.4489,287909.728,1
-392844.4287,273379.586,1
-392475.5469,260857.5162,1
-392330.7095,114464.4491,1
-391892.111,200783.27,1
-391441.0714,197736.7857,1
-389452.8086,127223.3121,1
-388132.4244,-46757.1942,1
-387526.9484,-38174.9466,1
-391771.3986,222342.3644,1
-387026.5006,-43456.3189,1
-386914.8701,128209.4805,1
-387247.7981,-33839.5484,1
-386829.2666,-31687.3394,1
-384856.2538,-38823.8991,1
-384632.6923,-31084.5604,1
-383790.5722,-56462.8084,1
-383791.0404,-56152.2796,1
-383794.3949,-56272.1739,1
-383760.4277,-54567.2352,1
-383782.0911,-55515.1033,1
-385194.5099,-51376.0369,1
-383268.1076,172502.8088,1
-382841.327,-37578.1141,1
-381029.8732,-12480.4622,1
-381065.7447,-4457.5532,1
-380982.2234,-12855.1513,1
-380708.1232,-14783.5967,1
-380039.7375,-15299.3016,1
-380049.794,-15433.6965,1
-380007.039,-15636.5835,1
-380608.3939,-48439.032,1
-379929.1407,-15771.6265,1
-380356.639,-23683.9503,1
-379451.0484,-8586.4427,1
-378794.4441,-18299.9885,1
-379351.6537,-16573.1791,1
-378684.8347,-17555.7225,1
-378633.5822,-30887.549,1
-378814.1761,-46522.9885,1
-376316.3855,-16957.1818,1
-377316.7814,-21567.8809,1
-375351.5333,-43995.6875,1
-376016.0029,-698.5452,1
-375173.5381,-46137.6755,1
-374484.8778,-47721.3246,1
-374397.4771,-47809.8662,1
-374390.4904,-47865.9947,1
-374367.0633,-47929.4736,1
-374151.9263,-49926.6697,1
-376214.1478,-36682.1113,1
